fda_id,address
3594,"1712 SOUTH 9TH STREET, ST LOUIS, MO 63104"
3595,"975 ERWIN ROAD, STONEWALL, MS 39363"
3596,"197 MAIN STREET, CHESHIRE, CT 06410"
3597,"588 FOB JAMES DRIVE, VALLEY, AL 36854"
3598,"612 WEST MAIN STREET, MILLVILLE, NJ 08332"
3599,"216 NORTH MINTER AVENUE, THROCKMORTON, TX 76483"
3600,"8433 PAGE AVENUE, SAINT LOUIS, MO 63130"
3601,"4501 WELLBORN ROAD, BRYAN, TX 77801"
3602,"6336 EAST 4TH PLACE, TULSA, OK 74112"
3603,"403 NORTH DUMAS AVENUE, DUMAS, TX 79029"
3604,"304 NORTH WALNUT STREET, STEELE, MO 63877"
3605,"1307 NORTH DOLARWAY ROAD, ELLENSBURG, WA 98926"
3606,"2997 MAIN STREET, GLASTONBURY, CT 06033"
3607,"4141 KIPLING STREET, WHEAT RIDGE, CO 80033"
3608,"5846 EAST SPEEDWAY BOULEVARD, TUCSON, AZ 85712"
3609,"3392 US HIGHWAY 287 NORTH ACCESS ROAD, WICHITA FALLS, TX 76305"
3610,"3535 LONGMIRE DRIVE, COLLEGE STATION, TX 77845"
3611,"11210 SOUTH POST OAK ROAD, HOUSTON, TX 77035"
3612,"7708 NORTH HIGHWAY 281, PLEASANTON, TX 78064"
3613,"304 WEST AUSTIN STREET, KERMIT, TX 79745"
3614,"295 HALL AVENUE, PERTH AMBOY, NJ 08861"
3615,"12384 PALMDALE ROAD SUITE 102, VICTORVILLE, CA 92392"
3616,"64940 AL HIGHWAY 77 NORTH, TALLADEGA, AL 35160"
3617,"4150 STATE HIGHWAY 6 SOUTH, COLLEGE STATION, TX 77845"
3618,"2343 FM 1960 ROAD, HOUSTON, TX 77073"
3619,"115 HARRIS AVENUE, PROVIDENCE, RI 02903"
3620,"902 FM 3433, NEWARK, TX 76071"
3621,"5815 SOUTH WESTERN STREET, AMARILLO, TX 79110"
3622,"743 SOUTH PARKWAY EAST, MEMPHIS, TN 38106"
3623,"1342 PENNSYLVANIA AVENUE, SAINT LOUIS., MO 63133"
3624,"2524 EAST WYATT EARP BOULEVARD, DODGE CITY, KS 67801"
3625,"4880 ROUTE 42 NORTH, TURNERSVILLE, NJ 08012"
3626,"1050 WEST RANKIN ROAD SUITE 100, HOUSTON, TX 77067"
3627,"111 EAST CESAR CHAVEZ STREET, AUSTIN, TX 78701"
3628,"18322 CLAY ROAD, HOUSTON, TX 77084"
3629,"907 NORTH HIGH STREET, MILLVILLE, NJ 08332"
3630,"102 8TH STREET, DACONO, CO 80514"
3631,"1814 SOUTH COURT STREET, GRAYVILLE, IL 62844"
3632,"20 BRADLEY COVE ROAD, RUSSELLVILLE, AR 72801"
3633,"571 OAKLAND AVENUE, HELENA, AR 72342"
3634,"8806 PACIFIC AVENUE, TACOMA, WA 98444"
3635,"436 CONVERY BOULEVARD, PERTH AMBOY, NJ 08861"
3636,"1622 NE LOOP 410, SAN ANTONIO, TX 78209"
3637,"2901 EAST 1ST STREET, HEREFORD, TX 79045"
3638,"6901 SOUTH PADRE ISLAND DRIVE, CORPUS CHRISTI, TX 78412"
3639,"144 WEST MAIN ST, BUTLER, IN 46721"
3640,"408 WEST 2ND STREET, CLARENDON, TX 79226"
3641,"1834 NORTHWEST TOPEKA BOULEVARD SUITE #200, TOPEKA, KS 66608"
3642,"7501 OLIVE BOULEVARD, UNIVERSITY CITY, MO 63130"
3643,"1301 EAST ALGONQUIN ROAD, ALGONQUIN, IL 60102"
3644,"624 WEST MAIN STREET, MILLVILLE, NJ 08332"
3645,"2625 BROWNSVILLE ROAD, PITTSBURGH, PA 15227"
3646,"309 EAST JACKSON BOULEVARD, JACKSON, MO 63755"
3647,"118 SOUTH MAIN STREET, VIRGINIA, IL 62691"
3648,"100 LYNN STREET, PEABODY, MA 01960"
3649,"11919 PACIFIC HIGHWAY SOUTH WEST, LAKEWOOD, WA 98499"
3650,"2300 MONUMENT BOULEVARD, PLEASANT HILL, CA 94523"
3651,"6015 NORTH 43RD AVENUE, PHOENIX, AZ 85019"
3652,"204 WEST AVENUE A, SYRACUSE, KS 67878"
3653,"1720 EAST 29TH STREET, BRYAN, TX 77802"
3654,"7329 STREET CHARLES ROCK ROAD, ST. LOUIS, MO 63133"
3655,"537 W MAIN ST, BUTLER, IN 46721"
3656,"501 4TH STREET SOUTH EAST, WASHINGTON, DC 20003"
3657,"205 EAST HIGHWAY 21, CALDWELL, TX 77836"
3658,"1002 CHALKSTONE AVENUE, PROVIDENCE, RI 02908"
3659,"4399 KITSAP WAY, BREMERTON, WA 98312"
3660,"2630 HIGHWAY 42, LOCUST GROVE, GA 30248"
3661,"17 PENNSYLVANIA AVENUE, MATAMORAS, PA 18336"
3662,"108 WEST HARRIS STREET, PINE MOUNTAIN, GA 31822"
3663,"905 SOUTH MAIN STREET, CHESHIRE, CT 06410"
3664,"1001 CUSTER ROAD, PLANO, TX 75025"
3665,"7480 WEST SHELTON MATLOCK ROAD, SHELTON, WA 98584"
3666,"3200 BOONVILLE ROAD, BRYAN, TX 77802"
3667,"17 BRIDGE STREET, SOUTH HADLEY, MA 01075"
3668,"41 CLEMENTON RD SUITE 110, BERLIN, NJ 08009"
3669,"349 MAIN STREET, DURHAM, CT 06422"
3670,"3816 YAKIMA AVENUE, TACOMA, WA 98418"
3671,"1208 WEST WM J BRYAN PARKWAY, BRYAN, TX 77803"
3672,"600 NORTHWEST PARAMORE STREET, TOPEKA, KS 66608"
3673,"449 NORTH 6TH STREET, ALLENTOWN, PA 18102"
3674,"1187 S KINGSHIGHWAY BLVD, ST LOUIS, MO 63110"
3675,"1225 THIRD STREET, WHITEHALL, PA 18052"
3676,"1070 SPILLWAY CIRCLE, BRANDON, MS 39047"
3677,"2412 TEXAS AVENUE SOUTH, COLLEGE STATION, TX 77840"
3678,"907 NORTH KAUFMAN STREET, ENNIS, TX 75119"
3679,"902 EAST DIVISION STREET, DOVER, DE 19901"
3680,"3820 YAKIMA AVENUE, TACOMA, WA 98418"
3681,"109 SOUTH STATE STREET, CROSSVILLE, IL 62827"
3682,"1701 HARRISON STREET, MAYWOOD, IL 60153"
3683,"1913 DIXWELL AVENUE, HAMDEN, CT 06514"
3684,"102 EAST GEORGE RICHEY ROAD, WHITE OAK, TX 75693"
3685,"1655 FIRST AVENUE EAST, CAMBRIDGE, MN 55008"
3686,"7 NEWARK AVENUE, BELLEVILLE, NJ 07109"
3687,"1340 S MAIN ST, AUBURN, IN 46706"
3688,"1224 SOUTH 4TH STREET, ALLENTOWN, PA 18103"
3689,"333  GROVE AVE, PRESCOTT, AZ 86301"
3690,"108  CREEK STREET P.O. BOX 205, LAKE CITY, TN 37769"
3691,"1026 WEILAND ROAD, BUFFALO GROVE, IL 60089"
3692,"19112 FREEPORT STREET NORTHWEST, ELK RIVER, MN 55330"
3693,"3000 W BROADWAY AVENUE, MOSES LAKE, WA 98837"
3694,"6345 WINDSWEPT LANE STE I, HOUSTON, TX 77057"
3695,"301 NORTH BRADFORD STREET, DOVER, DE 19904"
3696,"1619 HARRISON AVE, OLYMPIA, WA 98502"
3697,"592 HEBRON AVENUE, GLASTONBURY, CT 06033-2971"
3698,"607 GREGORY LANE SUITE 120, PLEASANT HILL, CA 94523"
3699,"1760 BRIARCREST DRIVE, BRYAN, TX 77802"
3700,"2000 ORCHARD ROAD, MONTGOMERY, IL 60538"
3701,"2350 BOONVILLE ROAD, BRYAN, TX 77808"
3702,"1708 HWY 45 S, BUCKATUNNA, MS 39322"
3703,"300 HIGHWAY 32 WEST, HOULKA, MS 38850"
3704,"1324 MONTEREY RD, PEARL, MS 39208"
3705,"775 NORTH MIAMI AVENUE, MARSHALL, MO 65340"
3706,"1790 SWEDE ROAD, BLUE BELL, PA 19422"
3707,"2267 MACARTHUR ROAD, WHITEHALL, PA 18052"
3708,"3101 MAIN STREET, UNION GAP, WA 98903"
3709,"6710 HIGHWAY 72, KILLEN, AL 35645"
3710,"736 NORTH MAIN STREET, BROCKTON, MA 02301"
3711,"1255 WEST MORTON AVENUE, JACKSONVILLE, IL 62650"
3712,"2001 NORTH RAND ROAD SUITE P, PALATINE, IL 60074"
3713,"2540 HIGHWAY 42, SUMRALL, MS 39482"
3714,"12200 CLAYTON ROAD, SAINT LOUIS, MO 63131"
3715,"110 SILO HILL ROAD, EMMITSBURG, MD 21727"
3716,"1207 NORTH EOLA ROAD, AURORA, IL 60502"
3717,"8055 WEST BOWLES AVENUE SUITE 2W, LITTLETON, CO 80123"
3718,"6700 OLIVE BOULEVARD, UNIVERSITY CITY, MO 63130"
3719,"205  SOUTH VANDEVENTER AVENUE, SAINT LOUIS, MO 63110"
3720,"400 COOPER POINT ROAD SOUTHWEST SUITE CV12, OLYMPIA, WA 98502"
3721,"116 NORTH WASHINGTON STREET, BUNKER HILL, IL 62014"
3722,"1705 CONTRA COSTA BOULEVARD, PLEASANT HILL, CA 94523"
3723,"153 EAST FOOTHILL BOULEVARD, ARCADIA, CA 91006"
3724,"9601 MANCHESTER ROAD, ROCK HILL, MO 63119"
3725,"6279 SOUTH STEMMONS FREEWAY, CORINTH, TX 76210"
3726,"1014 SOUTH LITTLE CREEK ROAD, DOVER, DE 19901"
3727,"137 EAST SOUTH STREET, PLANO, IL 60545"
3728,"7201 NATURAL BRIDGE ROAD, SAINT LOUIS, MO 63121"
3729,"2311 WEST STATE HIGHWAY 173, GALENA, MO 65656"
3730,"631 S DENTON DRIVE, LAKE DALLAS, TX 75065"
3731,"1329 US HIGHWAY 2, LEAVENWORTH, WA 98826"
3732,"3715 STATE HIGHWAY 59 NORTH, BOWIE, TX 76230"
3733,"541 W MAIN ST, BUTLER, IN 46721"
3734,"1 PARK AVENUE, WILSON, AR 72395"
3735,"2405 EAST STATE HIGHWAY 121, LEWISVILLE, TX 75056"
