,fda_id,address,longitude,latitude
65,3566,"2651 BENNING ROAD NORTHEAST, WASHINGTON, DC 20002",-76.969555,38.8976113
66,3567,"100 SOUTH 25 MILE AVENUE, HEREFORD, TX 79045",-102.405747,34.8105498
67,3568,"457 NORTH HARVEY MITCHELL PARKWAY, BRYAN, TX 77807",-96.377759,30.6300146
68,3569,"101 NORTH MAIN STREET, LAMAR, CO 81052",-102.6195937,38.0903924
69,3570,"500 SILAS DEANE HIGHWAY, WETHERSFIELD, CT 06109",-72.6630051,41.7123178
70,3571,"1951 NORTH BLACK HORSE PIKE # E, WILLIAMSTOWN, NJ 08094",-75.0182938,39.7140299
71,3572,"2620 SOUTH 23RD STREET, MCALLEN, TX 78503",-98.2496825,26.1812911
72,3573,"10707 PACIFIC AVENUE SOUTH SUITE A, TACOMA, WA 98444",-122.4333743,47.1597231
73,3574,"106 RUSSELL AVENUE, BOONE, CO 81025",-104.2559847,38.2471453
74,3575,"5401 W GIRARD AVE, PHILADELPHIA, PA 19131",-75.2289152,39.9712894
75,3576,"11 STATE ROAD, BATH, ME 04530",-69.8313755,43.9066773
76,3577,"325 WASHINGTON AVENUE, BELLEVILLE, NJ 07110",-74.1431375,40.8169684
77,3578,"3300 NORTH MIDLAND DRIVE, MIDLAND, TX 79707",-102.1410256,32.0165149
78,3579,"1101 CROSS TIMBERS ROAD, FLOWER MOUND, TX 75028",-97.0453283,33.0411022
79,3580,"3296 GOLD AVENUE, KINGDOM CITY, MO 65262",-91.9403577,38.942648
80,3581,"101 HOLFORDS PRAIRIE ROAD #103, LEWISVILLE, TX 75056",-96.9361763,33.0480646
81,3582,"109 NORTH WEST STREET, CARLINVILLE, IL 62626",-89.8828958,39.2798437
82,3583,"1707 WEST LIBERTY ROAD, WESTMINISTER, MD 21157",-77.056534,39.4461129
83,3584,"7498 STATE ROAD Z, FULTON, MO 65251",-91.9760526,38.8493195
84,3585,"8506 WEST GOLF ROAD, NILES, IL 60714",-87.8365431,42.0561409
85,3586,"802 NORTH 10TH STREET, ALLENTOWN, PA 18102",-75.4834521,40.6118204
86,3587,"724 HEBRON PKWY, LEWISVILLE, TX 75057",-96.9676457,33.0098679
87,3588,"2101 LONG PRAIRIE ROAD, FLOWER MOUND, TX 75022",-97.0716426,33.0142769
88,3589,"1781 FRONTAGE ROAD, SABETHA, KS 66534",-95.7800269,39.8870083
89,3590,"1205 SOUTH 1ST STREET, HIAWATHA, KS 66434",-95.5271187,39.8429123
90,3591,"1900 NORTH HOBART STREET, PAMPA, TX 79065",-100.9717081,35.5568059
91,3592,"5495 COUNTY ROAD 388, CUSSETA, AL 36852",-85.2790698,32.7448837
92,3593,"852 SOUTH BUCKLEY ROAD, AURORA, CO 80017",-104.7907242,39.7009694
93,3594,"1712 SOUTH 9TH STREET, ST LOUIS, MO 63104",-90.2027657,38.6103056
94,3595,"975 ERWIN ROAD, STONEWALL, MS 39363",-88.8048814,32.1510364
95,3596,"197 MAIN STREET, CHESHIRE, CT 06410",-72.904325,41.504069
96,3597,"588 FOB JAMES DRIVE, VALLEY, AL 36854",-85.2110123,32.8202881
97,3598,"612 WEST MAIN STREET, MILLVILLE, NJ 08332",-75.0543324,39.3976286
98,3599,"216 NORTH MINTER AVENUE, THROCKMORTON, TX 76483",-99.1773276,33.1821657
99,3600,"8433 PAGE AVENUE, SAINT LOUIS, MO 63130",-90.339298,38.685039
100,3601,"4501 WELLBORN ROAD, BRYAN, TX 77801",-96.352109,30.620384
101,3602,"6336 EAST 4TH PLACE, TULSA, OK 74112",-95.9051858,36.1543524
102,3603,"403 NORTH DUMAS AVENUE, DUMAS, TX 79029",-101.9734506,35.8727179
103,3604,"304 NORTH WALNUT STREET, STEELE, MO 63877",-89.8275911,36.085318
104,3605,"1307 NORTH DOLARWAY ROAD, ELLENSBURG, WA 98926",-120.586897,47.0053399
105,3606,"2997 MAIN STREET, GLASTONBURY, CT 06033",-72.61615,41.72585
106,3607,"4141 KIPLING STREET, WHEAT RIDGE, CO 80033",-105.1097476,39.7752533
107,3608,"5846 EAST SPEEDWAY BOULEVARD, TUCSON, AZ 85712",-110.8675046,32.2358814
108,3609,"3392 US HIGHWAY 287 NORTH ACCESS ROAD, WICHITA FALLS, TX 76305",-98.9265941,34.0441395
109,3610,"3535 LONGMIRE DRIVE, COLLEGE STATION, TX 77845",-96.2859475,30.5817318
110,3611,"11210 SOUTH POST OAK ROAD, HOUSTON, TX 77035",-95.4648393,29.6561622
111,3612,"7708 NORTH HIGHWAY 281, PLEASANTON, TX 78064",-98.484636,29.0665301
112,3613,"304 WEST AUSTIN STREET, KERMIT, TX 79745",-103.0967982,31.856967
113,3614,"295 HALL AVENUE, PERTH AMBOY, NJ 08861",-74.2708292,40.5202573
114,3615,"12384 PALMDALE ROAD SUITE 102, VICTORVILLE, CA 92392",-117.3926358,34.5073728
115,3616,"64940 AL HIGHWAY 77 NORTH, TALLADEGA, AL 35160",-86.1162062,33.4732827
116,3617,"4150 STATE HIGHWAY 6 SOUTH, COLLEGE STATION, TX 77845",-96.2739381,30.5713158
117,3618,"2343 FM 1960 ROAD, HOUSTON, TX 77073",-95.3919965,30.0245374
118,3619,"115 HARRIS AVENUE, PROVIDENCE, RI 02903",-71.4238273,41.8273029
119,3620,"902 FM 3433, NEWARK, TX 76071",-97.4857361,33.0049862
120,3621,"5815 SOUTH WESTERN STREET, AMARILLO, TX 79110",-101.8831209,35.1469812
121,3622,"743 SOUTH PARKWAY EAST, MEMPHIS, TN 38106",-90.0375396,35.1075593
122,3623,"1342 PENNSYLVANIA AVENUE, SAINT LOUIS., MO 63133",-90.313735,38.678532
123,3624,"2524 EAST WYATT EARP BOULEVARD, DODGE CITY, KS 67801",-99.9890129,37.7520219
124,3625,"4880 ROUTE 42 NORTH, TURNERSVILLE, NJ 08012",-75.0447443,39.7483277
125,3626,"1050 WEST RANKIN ROAD SUITE 100, HOUSTON, TX 77067",-95.4361042,29.9666317
126,3627,"111 EAST CESAR CHAVEZ STREET, AUSTIN, TX 78701",-97.7439823,30.2627176
127,3628,"18322 CLAY ROAD, HOUSTON, TX 77084",-95.683729,29.8328117
128,3629,"907 NORTH HIGH STREET, MILLVILLE, NJ 08332",-75.0387119,39.4059394
129,3630,"102 8TH STREET, DACONO, CO 80514",-104.9409379,40.0874139
130,3631,"1814 SOUTH COURT STREET, GRAYVILLE, IL 62844",-87.999752,38.2386378
131,3632,"20 BRADLEY COVE ROAD, RUSSELLVILLE, AR 72801",-93.1506775,35.2789194
132,3633,"571 OAKLAND AVENUE, HELENA, AR 72342",-90.6129258,34.5364884
133,3634,"8806 PACIFIC AVENUE, TACOMA, WA 98444",-122.4340983,47.1770059
134,3635,"436 CONVERY BOULEVARD, PERTH AMBOY, NJ 08861",-74.2838393,40.5185559
135,3636,"1622 NE LOOP 410, SAN ANTONIO, TX 78209",-98.4388101,29.51475
136,3637,"2901 EAST 1ST STREET, HEREFORD, TX 79045",-102.3829502,34.8223788
137,3638,"6901 SOUTH PADRE ISLAND DRIVE, CORPUS CHRISTI, TX 78412",-97.3467463,27.6951752
138,3639,"144 WEST MAIN ST, BUTLER, IN 46721",-84.874182,41.42942
139,3640,"408 WEST 2ND STREET, CLARENDON, TX 79226",-100.8925833,34.9401
140,3641,"1834 NORTHWEST TOPEKA BOULEVARD SUITE #200, TOPEKA, KS 66608",-95.6662867,39.081642
141,3642,"7501 OLIVE BOULEVARD, UNIVERSITY CITY, MO 63130",-90.3321286,38.6722382
142,3643,"1301 EAST ALGONQUIN ROAD, ALGONQUIN, IL 60102",-88.2763685,42.1607395
143,3644,"624 WEST MAIN STREET, MILLVILLE, NJ 08332",-75.0556494,39.3980075
144,3645,"2625 BROWNSVILLE ROAD, PITTSBURGH, PA 15227",-79.977995,40.385087
145,3646,"309 EAST JACKSON BOULEVARD, JACKSON, MO 63755",-89.6661474,37.3753003
146,3647,"118 SOUTH MAIN STREET, VIRGINIA, IL 62691",-90.2100835,39.9502571
147,3648,"100 LYNN STREET, PEABODY, MA 01960",-70.9470276,42.5113758
148,3649,"11919 PACIFIC HIGHWAY SOUTH WEST, LAKEWOOD, WA 98499",-122.5039767,47.1489879
149,3650,"2300 MONUMENT BOULEVARD, PLEASANT HILL, CA 94523",-122.0542134,37.945496
150,3651,"6015 NORTH 43RD AVENUE, PHOENIX, AZ 85019",-112.1509892,33.5246632
151,3652,"204 WEST AVENUE A, SYRACUSE, KS 67878",-101.7566632,37.985945
152,3653,"1720 EAST 29TH STREET, BRYAN, TX 77802",-96.3557716,30.6602306
153,3654,"7329 STREET CHARLES ROCK ROAD, ST. LOUIS, MO 63133",-90.3074585,38.6871754
154,3655,"537 W MAIN ST, BUTLER, IN 46721",-84.887409,41.430251
155,3656,"501 4TH STREET SOUTH EAST, WASHINGTON, DC 20003",-77.0008238,38.8830908
156,3657,"205 EAST HIGHWAY 21, CALDWELL, TX 77836",-96.696887,30.5342005
157,3658,"1002 CHALKSTONE AVENUE, PROVIDENCE, RI 02908",-71.4407144,41.8321665
158,3659,"4399 KITSAP WAY, BREMERTON, WA 98312",-122.6728423,47.5679711
159,3660,"2630 HIGHWAY 42, LOCUST GROVE, GA 30248",-84.127084,33.377472
160,3661,"17 PENNSYLVANIA AVENUE, MATAMORAS, PA 18336",-74.6983373,41.3706472
161,3662,"108 WEST HARRIS STREET, PINE MOUNTAIN, GA 31822",-84.855032,32.8649758
162,3663,"905 SOUTH MAIN STREET, CHESHIRE, CT 06410",-72.9064956,41.4804088
163,3664,"1001 CUSTER ROAD, PLANO, TX 75025",-96.7364765,33.0873892
164,3665,"7480 WEST SHELTON MATLOCK ROAD, SHELTON, WA 98584",-123.2318408,47.2270034
165,3666,"3200 BOONVILLE ROAD, BRYAN, TX 77802",-96.3187375,30.6704702
166,3667,"17 BRIDGE STREET, SOUTH HADLEY, MA 01075",-72.5945759,42.2152676
167,3668,"41 CLEMENTON RD SUITE 110, BERLIN, NJ 08009",-74.9405412,39.7991785
168,3669,"349 MAIN STREET, DURHAM, CT 06422",-72.6812417,41.4848027
169,3670,"3816 YAKIMA AVENUE, TACOMA, WA 98418",-122.4436437,47.2224681
170,3671,"1208 WEST WM J BRYAN PARKWAY, BRYAN, TX 77803",-96.3888104,30.6761651
171,3672,"600 NORTHWEST PARAMORE STREET, TOPEKA, KS 66608",-95.6718415,39.0766915
